model,fold,balanced_accuracy,roc_auc,f1,sensitivity,specificity
logistic_regression,1,0.6872105184521141,0.7980726131779472,0.7612456747404844,0.7971014492753565,0.57731958762886
logistic_regression,2,0.6956521739130435,0.7704559178743962,0.7407407407407407,0.7246376811594151,0.6666666666666597
random_forest,1,0.6457119378455103,0.8064769161810846,0.7791411042944786,0.9202898550724571,0.3711340206185529
random_forest,2,0.6872735507246377,0.807782306763285,0.7961783439490446,0.9057971014492688,0.46874999999999517
hist_gradient_boosting,1,0.7501867622889586,0.8228746451516509,0.8083623693379791,0.8405797101449215,0.6597938144329829
hist_gradient_boosting,2,0.724411231884058,0.818010265700483,0.8,0.8550724637681097,0.5937499999999939
