model,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,f1_mean,sensitivity_mean,specificity_mean
hist_gradient_boosting,0.7372989970865083,0.01288776520245033,0.820442455426067,0.8041811846689896,0.8478260869565156,0.6267719072164883
logistic_regression,0.6914313461825787,0.004220827730464671,0.7842642655261717,0.7509932077406125,0.7608695652173858,0.6219931271477599
random_forest,0.666492744285074,0.020780806439563704,0.8071296114721849,0.7876597241217616,0.913043478260863,0.419942010309274
